Token,Average Similarity
πύλη,0.06887145210393
ἀριστερός,0.04685698164437915
σύμπας,0.038276755093168115
νοσέω,0.020041249268109067
θύω,0.034058772289253664
σφυγμός,0.013876937698122073
εἰκών,0.009099969855612254
ἀναφέρω,0.059608056344595095
μέτριος,0.06659235463944661
περισσός,0.04285401164482325
ἐπίσκοπος,0.05595219217080948
νῆσος,0.07507644829429508
τέμνω,0.03791761710510436
φθάνω,0.028342842088485722
τολμάω,0.005410495426683708
αἴρω,0.04761493113101374
κέντρον,0.07794814096804797
πολίτης,0.069759709371441
κριθή,0.051037535860612084
λίτρα,0.062182718474705856
βλάπτω,0.011866737324358091
γένημα,0.03460971861068028
παντελής,0.07073456789229984
ἀκόλουθος,0.02139300476254133
ἄδικος,0.05043403527027791
βουλεύω,0.0145597113922475
θέρμος,0.06676120224175215
θεωρία,0.051575661872971024
θυσία,0.08004863537618041
ἀθάνατος,0.041026756505312546
νίκη,0.048128993383416675
στέρησις,0.05001699230857442
χείρων,0.0412166737260006
στρατιά,0.0816369942912148
τράπεζα,0.05070060025265649
χειμών,0.06617072329634557
μονάς,0.03578038381324578
γάμος,0.09667352761385384
δέρμα,0.09360557584378904
ἀναβαίνω,0.06962608169212396
μυρίος,0.0662165283569176
ὅρκος,0.03174345087405084
ἑτοῖμος,0.07801967343795944
ἁρμόζω,0.01538945108236301
συνάπτω,0.044568128888662836
χάλκεος,0.09797430177080603
ἀπαλλάσσω,0.055474613468138576
βία,0.11415300004892298
κάμνω,0.03424993818265417
μέντοι,-0.04750680902103779
τάχα,0.005695008447885579
ἱερεύς,0.06114621106109085
πρόσω,0.03834187428925134
θαυμαστός,0.006864152604121384
σπουδή,0.08838910454161296
φορά,0.05338368650414611
αἵρεσις,0.07334829569661605
ὑπόκειμαι,-0.02333540045728809
οὐλή,0.03067723659853722
ὕπνος,0.07180985411946798
εὐθεῖα,0.046814226803729875
οὔπω,-0.026723318197816273
φιλία,0.07003917500851704
ἐπιτήδειος,0.08966145306999498
ἡγεμών,0.03961252613720686
σφοδρός,0.07838255233108228
βαδίζω,0.037633392715591595
δάκτυλος,0.05378213379006606
πλοῖον,0.06928924407698447
ἀπόλλων,0.07373503524066072
πολεμέω,0.021308550417065367
ἐνιαυτός,0.029781704408317677
ἱστορία,0.017057360936239763
περ,-0.014575503294055155
στρατός,0.09277231003368992
ἀμφί,0.06943838774773155
ὑγιαίνω,-0.006607024311444329
μισθός,0.03477598383012218
παιδίον,0.05438230142615752
μουσικός,0.054363090378672624
ἔνειμι,0.0032974879409324452
πέτρος,0.07768897403203506
πλοῦτος,0.07481159150422895
τελέω,0.06270810250556424
ὁποῖος,-0.009248371470486278
ποσός,-0.007882463145744215
προσέχω,0.005747900406419585
στράτευμα,0.07892119265544761
μυριάς,0.038801478465487746
πλευρά,0.06115577996223597
πορεύω,0.04729833188269163
ἔξεστι,-0.046755905690228396
πυρετός,0.044169933580556854
κεφάλαιος,-0.00032032578170500264
τετρώβολον,0.09627058236371168
θύρα,0.0825959210226456
εἰσάγω,0.061189581267584586
φόρος,0.06940114950678633
παρέρχομαι,0.03563311572593632
λίαν,0.07191375955964925
διορίζω,-0.01878550481316427
ὀδύνη,0.07713591936895743
στρατόπεδον,0.0961543509241496
ὠφελέω,0.012807929867897722
ἄκρος,0.07742250211917039
ὑμέτερος,0.029472710393842652
τρέπω,0.09391739055715827
ποῦ,-0.015301586849565042
αἰσχρός,0.060065947693947075
μεταξύ,0.03346352939917552
ἰδέα,4.482179812399311e-05
ἀσθενής,0.0743097047765002
εἴωθα,0.034401173852725064
βάθος,0.08749984416739935
παραχρῆμα,0.06860756744849307
πρόσειμι,0.033142347639849544
μακάριος,0.034904671956731276
ἀνέχω,0.051184569569947054
ἀπολείπω,0.03340859311445479
ὁμώνυμος,0.013789597331873007
γνωρίζω,-0.003329805749242316
ὑφίστημι,0.02504561293459345
προσάγω,0.06824488103731433
σύμμετρος,0.052057333028428986
τρίγωνος,0.02664162227481944
ἔπος,0.043851103945061025
ἀμμώνιος,0.08988715474795644
ἐνδείκνυμι,0.008469335301996117
ἐπιτρέπω,0.03212559676389983
θηρίον,0.08451555150377527
πεζός,0.041949848501105745
ὁπόσος,0.023118620027342086
ἔρως,0.07633397767510133
καινός,0.061224736774193544
ἀδελφή,0.05638301767012608
τύραννος,0.08762097752976129
